@Number of rules: 60

1: Year IS L_0 AND Age IS null AND Positive IS L_0: positive(3.9409005269157135E-5),negative(0.9999559273368837),Omega(4.663657847166972E-6); with Rule Weight: 1.0
32: Year IS L_2 AND Age IS null AND Positive IS L_0: positive(0.5622487913067556),negative(0.39213865964727573),Omega(0.045612549045968655); with Rule Weight: 1.0
33: Year IS L_0 AND Age IS null AND Positive IS L_1: positive(0.25602322206095796),negative(0.0),Omega(0.743976777939042); with Rule Weight: 1.0
34: Year IS L_2 AND Age IS null AND Positive IS null: positive(0.0),negative(0.2734793508378414),Omega(0.7265206491621585); with Rule Weight: 1.0
35: Year IS L_2 AND Age IS null AND Positive IS L_0: positive(0.035983938836299204),negative(0.8906837131472215),Omega(0.07333234801647924); with Rule Weight: 1.0
36: Year IS L_1 AND Age IS null AND Positive IS L_1: positive(0.0),negative(0.566479273663325),Omega(0.433520726336675); with Rule Weight: 1.0
37: Year IS L_1 AND Age IS null AND Positive IS null: positive(0.7864565321630151),negative(0.0),Omega(0.21354346783698488); with Rule Weight: 1.0
38: Year IS L_2 AND Age IS null AND Positive IS null: positive(0.0),negative(0.2659981527906056),Omega(0.7340018472093943); with Rule Weight: 1.0
39: Year IS L_2 AND Age IS L_0 AND Positive IS null: positive(0.0),negative(0.36907243699696535),Omega(0.6309275630030347); with Rule Weight: 1.0
40: Year IS L_1 AND Age IS L_1 AND Positive IS L_1: positive(0.4274444989794006),negative(0.0),Omega(0.5725555010205995); with Rule Weight: 1.0
41: Year IS L_1 AND Age IS L_0 AND Positive IS null: positive(0.21089853542683729),negative(0.0),Omega(0.7891014645731627); with Rule Weight: 1.0
42: Year IS L_2 AND Age IS L_0 AND Positive IS L_0: positive(0.0),negative(0.49245283018867925),Omega(0.5075471698113208); with Rule Weight: 1.0
43: Year IS L_1 AND Age IS L_1 AND Positive IS null: positive(0.5120464441219159),negative(0.0),Omega(0.4879535558780841); with Rule Weight: 1.0
44: Year IS L_0 AND Age IS null AND Positive IS null: positive(0.8810241843342106),negative(0.0),Omega(0.11897581566578949); with Rule Weight: 1.0
45: Year IS L_0 AND Age IS null AND Positive IS null: positive(0.0),negative(0.5719224669954467),Omega(0.4280775330045533); with Rule Weight: 1.0
46: Year IS L_0 AND Age IS L_0 AND Positive IS null: positive(0.0),negative(0.3748911465892598),Omega(0.6251088534107402); with Rule Weight: 1.0
47: Year IS L_0 AND Age IS L_2 AND Positive IS L_0: positive(0.6230769230769231),negative(0.0),Omega(0.3769230769230769); with Rule Weight: 1.0
48: Year IS L_2 AND Age IS L_1 AND Positive IS null: positive(0.39436601134714344),negative(0.0),Omega(0.6056339886528566); with Rule Weight: 1.0
49: Year IS L_1 AND Age IS null AND Positive IS null: positive(0.4538361279485587),negative(0.0),Omega(0.5461638720514412); with Rule Weight: 1.0
50: Year IS L_0 AND Age IS null AND Positive IS L_0: positive(0.0),negative(0.8755797922262856),Omega(0.1244202077737144); with Rule Weight: 1.0
51: Year IS L_1 AND Age IS null AND Positive IS null: positive(0.36812244359414176),negative(0.0),Omega(0.6318775564058583); with Rule Weight: 1.0
52: Year IS L_1 AND Age IS null AND Positive IS L_1: positive(0.47399675783467154),negative(0.0),Omega(0.5260032421653286); with Rule Weight: 1.0
53: Year IS L_2 AND Age IS L_1 AND Positive IS null: positive(0.26156291960544426),negative(0.38197238817506485),Omega(0.3564646922194909); with Rule Weight: 1.0
54: Year IS L_2 AND Age IS L_1 AND Positive IS L_2: positive(0.0),negative(0.274310595065312),Omega(0.725689404934688); with Rule Weight: 1.0
55: Year IS L_2 AND Age IS null AND Positive IS null: positive(0.41799709724238027),negative(0.0),Omega(0.5820029027576197); with Rule Weight: 1.0
56: Year IS L_0 AND Age IS null AND Positive IS null: positive(0.23939833751154513),negative(0.0),Omega(0.7606016624884548); with Rule Weight: 1.0
57: Year IS L_0 AND Age IS null AND Positive IS L_2: positive(0.8830188679245283),negative(0.0),Omega(0.11698113207547167); with Rule Weight: 1.0
58: Year IS L_0 AND Age IS L_1 AND Positive IS null: positive(0.0),negative(0.42322206095791004),Omega(0.57677793904209); with Rule Weight: 1.0
59: Year IS L_0 AND Age IS L_0 AND Positive IS L_1: positive(0.0),negative(0.5316400580551525),Omega(0.46835994194484754); with Rule Weight: 1.0
60: Year IS L_0 AND Age IS L_1 AND Positive IS null: positive(0.24687953555878084),negative(0.0),Omega(0.7531204644412192); with Rule Weight: 1.0
